date_time,open,high,low,close,volume
2012-12-03,2649.0,2649.0,2649.0,2649.0,0
2012-12-04,2657.9,2657.9,2657.9,2657.9,0
2012-12-05,2667.4,2667.4,2667.4,2667.4,0
2012-12-06,2682.4,2682.4,2682.4,2682.4,0
2012-12-07,2676.5,2676.5,2676.5,2676.5,0
2012-12-10,2685.8,2685.8,2685.8,2685.8,0
2012-12-11,2673.0,2673.0,2673.0,2673.0,0
2012-12-12,2670.0,2670.0,2670.0,2670.0,0
2012-12-13,2646.7,2646.7,2646.7,2646.7,0
2012-12-14,2663.5,2663.5,2663.5,2663.5,0
2012-12-17,2664.0,2664.0,2664.0,2664.0,0
2012-12-18,2681.8,2681.8,2681.8,2681.8,0
2012-12-19,2698.4,2698.4,2698.4,2698.4,0
2012-12-20,2693.9,2693.9,2693.9,2693.9,0
2012-12-21,2658.5,2658.5,2658.5,2658.5,0
2012-12-24,2664.5,2664.5,2664.5,2664.5,0
2012-12-26,2684.6,2684.6,2684.6,2684.6,0
2012-12-27,2671.6,2671.6,2671.6,2671.6,0
2012-12-28,2691.7,2691.7,2691.7,2691.7,0
2012-12-31,2697.2,2697.2,2697.2,2697.2,0
2013-01-01,2724.4,2724.4,2724.4,2724.4,0
2013-01-02,2740.7,2740.7,2740.7,2740.7,0
2013-01-03,2752.9,2752.9,2752.9,2752.9,0
2013-01-04,2760.0,2760.0,2760.0,2760.0,0
2013-01-07,2755.0,2755.0,2755.0,2755.0,0
2013-01-08,2758.5,2758.5,2758.5,2758.5,0
2013-01-09,2746.1,2746.1,2746.1,2746.1,0
2013-01-10,2738.8,2738.8,2738.8,2738.8,0
2013-01-11,2712.5,2712.5,2712.5,2712.5,0
2013-01-14,2744.0,2744.0,2744.0,2744.0,0
2013-01-15,2752.9,2752.9,2752.9,2752.9,0
2013-01-16,2722.7,2722.7,2722.7,2722.7,0
2013-01-17,2731.8,2731.8,2731.8,2731.8,0
2013-01-18,2734.3,2734.3,2734.3,2734.3,0
2013-01-21,2737.5,2737.5,2737.5,2737.5,0
2013-01-22,2716.4,2716.4,2716.4,2716.4,0
2013-01-23,2706.2,2706.2,2706.2,2706.2,0
2013-01-24,2665.2,2665.2,2665.2,2665.2,0
2013-01-25,2702.6,2702.6,2702.6,2702.6,0
2013-01-28,2704.3,2704.3,2704.3,2704.3,0
2013-01-29,2690.6,2690.6,2690.6,2690.6,0
2013-01-30,2690.3,2690.3,2690.3,2690.3,0
2013-01-31,2696.7,2696.7,2696.7,2696.7,0
2013-02-01,2692.4,2692.4,2692.4,2692.4,0
2013-02-04,2679.3,2679.3,2679.3,2679.3,0
2013-02-05,2663.2,2663.2,2663.2,2663.2,0
2013-02-06,2665.7,2665.7,2665.7,2665.7,0
2013-02-07,2650.9,2650.9,2650.9,2650.9,0
2013-02-08,2634.4,2634.4,2634.4,2634.4,0
2013-02-11,2632.8,2632.8,2632.8,2632.8,0
2013-02-12,2635.9,2635.9,2635.9,2635.9,0
2013-02-13,2629.9,2629.9,2629.9,2629.9,0
2013-02-14,2604.3,2604.3,2604.3,2604.3,0
2013-02-15,2607.1,2607.1,2607.1,2607.1,0
2013-02-18,2615.6,2615.6,2615.6,2615.6,0
2013-02-19,2640.7,2640.7,2640.7,2640.7,0
2013-02-20,2640.6,2640.6,2640.6,2640.6,0
2013-02-21,2599.1,2599.1,2599.1,2599.1,0
2013-02-22,2599.3,2599.3,2599.3,2599.3,0
2013-02-25,2587.9,2587.9,2587.9,2587.9,0
2013-02-26,2546.5,2546.5,2546.5,2546.5,0
2013-02-27,2562.1,2562.1,2562.1,2562.1,0
2013-02-28,2509.5,2509.5,2509.5,2509.5,0
2013-03-01,2523.8,2523.8,2523.8,2523.8,0
2013-03-04,2500.3,2500.3,2500.3,2500.3,0
2013-03-05,2540.8,2540.8,2540.8,2540.8,0
2013-03-06,2560.8,2560.8,2560.8,2560.8,0
2013-03-07,2577.1,2577.1,2577.1,2577.1,0
2013-03-08,2605.5,2605.5,2605.5,2605.5,0
2013-03-11,2609.3,2609.3,2609.3,2609.3,0
2013-03-12,2594.69,2594.69,2594.69,2594.69,0
2013-03-13,2568.0,2568.0,2568.0,2568.0,0
2013-03-14,2588.0,2588.0,2588.0,2588.0,0
2013-03-15,2573.19,2573.19,2573.19,2573.19,0
2013-03-18,2562.6,2562.6,2562.6,2562.6,0
2013-03-19,2523.3,2523.3,2523.3,2523.3,0
2013-03-20,2485.5,2485.5,2485.5,2485.5,0
2013-03-21,2466.9,2466.9,2466.9,2466.9,0
2013-03-22,2460.0,2460.0,2460.0,2460.0,0
2013-03-25,2453.3,2453.3,2453.3,2453.3,0
2013-03-26,2451.3,2451.3,2451.3,2451.3,0
2013-03-28,2480.0,2480.0,2480.0,2480.0,0
2013-04-01,2498.6,2498.6,2498.6,2498.6,0
2013-04-02,2525.5,2525.5,2525.5,2525.5,0
2013-04-03,2500.0,2500.0,2500.0,2500.0,0
2013-04-04,2454.9,2454.9,2454.9,2454.9,0
2013-04-05,2451.0,2451.0,2451.0,2451.0,0
2013-04-08,2446.6,2446.6,2446.6,2446.6,0
2013-04-09,2424.5,2424.5,2424.5,2424.5,0
2013-04-10,2443.3,2443.3,2443.3,2443.3,0
2013-04-11,2450.6,2450.6,2450.6,2450.6,0
2013-04-12,2437.8,2437.8,2437.8,2437.8,0
2013-04-15,2444.9,2444.9,2444.9,2444.9,0
2013-04-16,2482.0,2482.0,2482.0,2482.0,0
2013-04-17,2483.19,2483.19,2483.19,2483.19,0
2013-04-18,2513.6,2513.6,2513.6,2513.6,0
2013-04-22,2545.6,2545.6,2545.6,2545.6,0
2013-04-23,2541.0,2541.0,2541.0,2541.0,0
2013-04-25,2564.19,2564.19,2564.19,2564.19,0
2013-04-26,2548.8,2548.8,2548.8,2548.8,0
2013-04-29,2565.5,2565.5,2565.5,2565.5,0
2013-04-30,2575.0,2575.0,2575.0,2575.0,0
2013-05-02,2602.4,2602.4,2602.4,2602.4,0
2013-05-03,2585.4,2585.4,2585.4,2585.4,0
2013-05-06,2604.4,2604.4,2604.4,2604.4,0
2013-05-07,2632.5,2632.5,2632.5,2632.5,0
2013-05-08,2642.0,2642.0,2642.0,2642.0,0
